fecha;tendencia;precio_entrada;resultado;ganancia_usd
13/01/2025 11:35;alcista;102.006;SL;-10.0
13/01/2025 11:55;bajista;101.959;SL;-10.0
13/01/2025 12:20;alcista;101.959;TP;10.0
13/01/2025 12:25;bajista;101.888;SL;-10.0
13/01/2025 12:40;alcista;101.944;TP;10.0
13/01/2025 13:50;bajista;102.093;sin resultado;0.0
13/01/2025 14:20;alcista;102.111;SL;-10.0
13/01/2025 14:45;bajista;102.041;sin resultado;0.0
13/01/2025 15:45;alcista;102.046;SL;-10.0
13/01/2025 15:55;bajista;101.969;SL;-10.0
13/01/2025 16:20;alcista;102.007;TP;10.0
13/01/2025 17:00;bajista;102.107;sin resultado;0.0
13/01/2025 17:15;alcista;102.159;sin resultado;0.0
13/01/2025 18:05;bajista;102.143;sin resultado;0.0
13/01/2025 18:40;alcista;102.185;sin resultado;0.0
13/01/2025 19:00;bajista;102.126;sin resultado;0.0
13/01/2025 20:10;alcista;10.213;sin resultado;0.0
13/01/2025 23:05;bajista;102.555;SL;-10.0
13/01/2025 23:20;alcista;102.653;TP;10.0
13/01/2025 23:50;bajista;102.658;TP;10.0
14/01/2025 1:55;alcista;102.491;SL;-10.0
14/01/2025 2:05;bajista;102.426;sin resultado;0.0
14/01/2025 2:55;alcista;102.446;TP;10.0
14/01/2025 3:45;bajista;102.496;sin resultado;0.0
14/01/2025 4:30;alcista;102.537;SL;-10.0
14/01/2025 4:50;bajista;102.515;sin resultado;0.0
14/01/2025 5:40;alcista;102.492;sin resultado;0.0
14/01/2025 6:50;bajista;102.458;SL;-10.0
14/01/2025 6:55;alcista;102.527;TP;10.0
14/01/2025 7:20;bajista;102.575;SL;-10.0
14/01/2025 8:10;alcista;10.261;TP;10.0
14/01/2025 8:50;bajista;102.634;TP;10.0
14/01/2025 9:40;alcista;102.621;SL;-10.0
14/01/2025 10:15;bajista;102.578;sin resultado;0.0
14/01/2025 10:50;alcista;102.599;sin resultado;0.0
14/01/2025 11:50;bajista;102.551;TP;10.0
14/01/2025 12:30;alcista;102.533;SL;-10.0
14/01/2025 12:45;bajista;102.525;TP;10.0
14/01/2025 13:30;alcista;10.253;TP;10.0
14/01/2025 16:25;bajista;102.862;sin resultado;0.0
14/01/2025 16:55;alcista;102.914;SL;-10.0
14/01/2025 17:05;bajista;102.819;sin resultado;0.0
14/01/2025 17:35;alcista;102.878;TP;10.0
14/01/2025 17:45;bajista;10.284.200.000.000.000;SL;-10.0
14/01/2025 17:55;alcista;102.882;TP;10.0
14/01/2025 19:10;bajista;102.976;sin resultado;0.0
14/01/2025 19:15;alcista;102.998;sin resultado;0.0
14/01/2025 19:55;bajista;102.981;SL;-10.0
14/01/2025 20:15;alcista;102.988;sin resultado;0.0
14/01/2025 20:45;bajista;103.045;sin resultado;0.0
14/01/2025 21:15;alcista;103.043;sin resultado;0.0
14/01/2025 22:10;bajista;10.303;sin resultado;0.0
14/01/2025 22:25;alcista;103.067;sin resultado;0.0
14/01/2025 23:05;bajista;103.056;sin resultado;0.0
14/01/2025 23:10;alcista;103.077;sin resultado;0.0
14/01/2025 23:20;bajista;103.057;sin resultado;0.0
15/01/2025 0:50;alcista;103.017;sin resultado;0.0
15/01/2025 1:25;bajista;103.005;sin resultado;0.0
15/01/2025 2:05;alcista;103.004;sin resultado;0.0
15/01/2025 2:10;bajista;102.993;sin resultado;0.0
15/01/2025 2:20;alcista;103.008;sin resultado;0.0
15/01/2025 2:30;bajista;102.981;sin resultado;0.0
15/01/2025 3:05;alcista;102.998;sin resultado;0.0
15/01/2025 4:00;bajista;102.991;sin resultado;0.0
15/01/2025 4:30;alcista;103.008;sin resultado;0.0
15/01/2025 5:30;bajista;102.994;sin resultado;0.0
15/01/2025 6:30;alcista;102.976;SL;-10.0
15/01/2025 6:50;bajista;102.956;SL;-10.0
15/01/2025 7:30;alcista;102.957;TP;10.0
15/01/2025 8:25;bajista;103.017;sin resultado;0.0
15/01/2025 9:15;alcista;103.058;sin resultado;0.0
15/01/2025 10:10;bajista;1.031;sin resultado;0.0
15/01/2025 10:55;alcista;103.075;sin resultado;0.0
15/01/2025 11:30;bajista;103.051;sin resultado;0.0
15/01/2025 12:05;alcista;103.048;SL;-10.0
15/01/2025 12:40;bajista;103.019;SL;-10.0
15/01/2025 13:25;alcista;103.023;TP;10.0
15/01/2025 14:10;bajista;103.339;SL;-10.0
15/01/2025 14:25;alcista;10.340.799.999.999.900;SL;-10.0
15/01/2025 14:35;bajista;103.307;TP;10.0
15/01/2025 15:25;alcista;103.263;SL;-10.0
15/01/2025 15:40;bajista;103.147;TP;10.0
15/01/2025 16:50;alcista;102.787;TP;10.0
15/01/2025 17:50;bajista;102.849;sin resultado;0.0
15/01/2025 18:15;alcista;102.912;sin resultado;0.0
