fecha,tendencia,precio
2025-04-10 18:55:00,bajista,1.12153
2025-04-10 19:40:00,alcista,1.11745
2025-04-10 20:15:00,bajista,1.11936
2025-04-10 20:50:00,alcista,1.12016
2025-04-10 21:25:00,bajista,1.11877
2025-04-10 21:50:00,alcista,1.11946
2025-04-10 21:55:00,bajista,1.11822
2025-04-10 22:00:00,alcista,1.12031
2025-04-10 23:15:00,bajista,1.12173
2025-04-10 23:25:00,alcista,1.12288
2025-04-11 00:50:00,bajista,1.13076
2025-04-11 01:25:00,alcista,1.13117
2025-04-11 01:45:00,bajista,1.12894
2025-04-11 02:00:00,alcista,1.13163
2025-04-11 02:30:00,bajista,1.13053
2025-04-11 03:05:00,alcista,1.13073
2025-04-11 04:05:00,bajista,1.13267
2025-04-11 04:45:00,alcista,1.13228
2025-04-11 05:00:00,bajista,1.13037
2025-04-11 05:20:00,alcista,1.13038
2025-04-11 05:25:00,bajista,1.13005
2025-04-11 06:40:00,alcista,1.12646
2025-04-11 09:05:00,bajista,1.13961
2025-04-11 09:45:00,alcista,1.14123
2025-04-11 09:55:00,bajista,1.13855
2025-04-11 11:05:00,alcista,1.13586
2025-04-11 11:40:00,bajista,1.13367
2025-04-11 12:15:00,alcista,1.13598
2025-04-11 13:35:00,bajista,1.1344400000000001
2025-04-11 14:05:00,alcista,1.13709
2025-04-11 14:30:00,bajista,1.13461
2025-04-11 15:45:00,alcista,1.13407
2025-04-11 16:00:00,bajista,1.13181
2025-04-11 16:40:00,alcista,1.12945
2025-04-11 17:25:00,bajista,1.13111
2025-04-11 17:35:00,alcista,1.13251
2025-04-11 17:45:00,bajista,1.13057
2025-04-11 18:25:00,alcista,1.13098
2025-04-11 18:50:00,bajista,1.13062
2025-04-11 19:00:00,alcista,1.13182
2025-04-13 21:05:00,bajista,1.13152
2025-04-13 21:25:00,alcista,1.13201
2025-04-13 21:35:00,bajista,1.13189
2025-04-13 22:00:00,alcista,1.13289
2025-04-13 22:50:00,bajista,1.13357
2025-04-13 23:15:00,alcista,1.13378
2025-04-13 23:25:00,bajista,1.13284
2025-04-13 23:40:00,alcista,1.13399
2025-04-14 00:45:00,bajista,1.1356600000000001
2025-04-14 01:00:00,alcista,1.13701
2025-04-14 01:50:00,bajista,1.13866
2025-04-14 02:10:00,alcista,1.1400000000000001
2025-04-14 02:25:00,bajista,1.13892
2025-04-14 03:55:00,alcista,1.13716
2025-04-14 04:40:00,bajista,1.13717
2025-04-14 05:25:00,alcista,1.13777
2025-04-14 07:10:00,bajista,1.14095
2025-04-14 08:15:00,alcista,1.14055
2025-04-14 08:35:00,bajista,1.1386
2025-04-14 09:00:00,alcista,1.13995
2025-04-14 09:30:00,bajista,1.13944
2025-04-14 10:30:00,alcista,1.13874
2025-04-14 11:55:00,bajista,1.13838
2025-04-14 13:40:00,alcista,1.13248
2025-04-14 14:00:00,bajista,1.13222
2025-04-14 14:05:00,alcista,1.13284
2025-04-14 15:20:00,bajista,1.1359
2025-04-14 15:45:00,alcista,1.13769
2025-04-14 15:50:00,bajista,1.13626
2025-04-14 17:10:00,alcista,1.13427
2025-04-14 17:45:00,bajista,1.133
2025-04-14 18:00:00,alcista,1.13476
2025-04-14 18:40:00,bajista,1.13449
2025-04-14 18:55:00,alcista,1.13544
2025-04-14 20:00:00,bajista,1.13499
2025-04-14 21:25:00,alcista,1.13467
2025-04-14 21:55:00,bajista,1.1351499999999999
2025-04-14 22:00:00,alcista,1.13586
2025-04-14 22:05:00,bajista,1.135
2025-04-14 22:30:00,alcista,1.13569
2025-04-14 23:00:00,bajista,1.13485
2025-04-15 00:55:00,alcista,1.13286
2025-04-15 01:35:00,bajista,1.13165
2025-04-15 01:55:00,alcista,1.13244
2025-04-15 04:00:00,bajista,1.13451
2025-04-15 04:20:00,alcista,1.13534
2025-04-15 05:05:00,bajista,1.13562
2025-04-15 05:15:00,alcista,1.13644
2025-04-15 05:25:00,bajista,1.13571
2025-04-15 07:15:00,alcista,1.13472
2025-04-15 08:35:00,bajista,1.1356600000000001
2025-04-15 09:35:00,alcista,1.13492
2025-04-15 09:45:00,bajista,1.13387
2025-04-15 10:15:00,alcista,1.1343
2025-04-15 10:20:00,bajista,1.1339
2025-04-15 10:25:00,alcista,1.1345399999999999
2025-04-15 10:30:00,bajista,1.1341700000000001
2025-04-15 10:55:00,alcista,1.13445
2025-04-15 11:10:00,bajista,1.13364
2025-04-15 12:10:00,alcista,1.1335
2025-04-15 12:35:00,bajista,1.13244
2025-04-15 13:35:00,alcista,1.1317599999999999
2025-04-15 14:05:00,bajista,1.12995
2025-04-15 14:30:00,alcista,1.13195
2025-04-15 15:15:00,bajista,1.13126
2025-04-15 16:50:00,alcista,1.12772
2025-04-15 17:45:00,bajista,1.12769
2025-04-15 18:25:00,alcista,1.12753
2025-04-15 18:35:00,bajista,1.12689
2025-04-15 18:55:00,alcista,1.12734
2025-04-15 19:55:00,bajista,1.12823
2025-04-15 20:25:00,alcista,1.12875
2025-04-15 20:45:00,bajista,1.12823
2025-04-15 21:15:00,alcista,1.1283
2025-04-15 21:30:00,bajista,1.1280000000000001
